26-04-2016;21:07:17;43.525424N;005.667692W;30.4;5.79;22.50;19.62;1014.0;0;0.285
26-04-2016;21:07:49;43.525424N;005.667693W;30.4;5.64;22.56;19.56;1014.0;0;0.056
26-04-2016;21:08:20;43.525424N;005.667693W;30.4;5.50;22.62;19.75;1014.0;0;0.056
26-04-2016;21:08:52;43.525394N;005.667442W;20.4;5.36;22.62;19.75;1014.0;0;0.084
26-04-2016;21:09:23;43.525393N;005.667448W;19.4;5.25;22.50;19.62;1014.0;0;0.199
26-04-2016;21:09:55;43.525404N;005.667511W;24.7;5.29;22.50;19.50;1014.0;0;0.313
26-04-2016;21:10:26;43.525404N;005.667511W;24.7;5.38;22.25;19.38;1014.0;0;0.313
26-04-2016;21:10:57;43.525386N;005.667591W;24.8;5.45;22.00;19.31;1014.0;0;0.110
26-04-2016;21:11:29;43.525387N;005.667592W;24.8;5.46;21.81;19.12;1014.0;0;0.189
26-04-2016;21:12:00;43.525405N;005.667623W;24.7;5.50;21.69;19.00;1014.0;0;0.221
26-04-2016;21:12:32;43.525423N;005.667593W;31.4;5.55;21.56;19.00;1014.0;0;260416
26-04-2016;21:13:03;43.525379N;005.667492W;22.0;5.62;21.38;18.81;1014.0;0;0.245
26-04-2016;21:13:35;43.525378N;005.667497W;21.6;5.68;21.38;18.81;1014.0;0;0.227
26-04-2016;21:14:06;43.525381N;005.667601W;11.5;5.72;21.25;19.00;1014.0;0;0.245
26-04-2016;21:14:38;43.525367N;005.667653W;3.7;5.53;21.06;18.81;1014.0;0;0.235
26-04-2016;21:15:09;43.525366N;005.667483W;30.1;5.57;21.00;18.75;1014.0;0;0.344
26-04-2016;21:15:41;43.525367N;005.667480W;13500.5;5.56;20.81;18.62;1014.0;0;0.059
26-04-2016;21:15:41;43.525367N;005.667480W;30000.5;5.56;20.81;18.62;1014.0;0;0.059
26-04-2016;21:15:41;43.525367N;005.667480W;20000.5;5.56;20.81;18.62;1014.0;0;0.059
26-04-2016;21:15:41;43.555367N;005.667480W;20000.5;5.56;20.81;18.62;1014.0;0;0.059
26-04-2016;21:15:41;43.554367N;005.667480W;20000.5;5.56;20.81;18.62;1014.0;0;0.059
26-04-2016;21:15:41;43.544367N;005.667480W;20000.5;5.56;20.81;18.62;1014.0;0;0.059
26-04-2016;21:15:41;43.548367N;005.667480W;20000.5;5.56;20.81;18.62;1014.0;0;0.059
26-04-2016;21:15:41;43.548567N;005.667480W;20000.5;5.56;20.81;18.62;1014.0;0;0.059
26-04-2016;21:15:41;43.548567N;005.668480W;20000.5;5.56;20.81;18.62;1014.0;0;0.059
26-04-2016;21:15:41;43.548567N;005.665480W;20000.5;5.56;20.81;18.62;1014.0;0;0.059
26-04-2016;21:15:41;43.548567N;005.663480W;20000.5;5.56;20.81;18.62;1014.0;0;0.059
26-04-2016;21:15:41;43.549567N;005.663480W;20000.5;5.56;20.81;18.62;1014.0;0;0.059
